Consecutivo,Date,Adj Close,diferencias,dobles dif
1,11/03/2019,19.4832,0,0
2,12/03/2019,19.3913,-0.0919,0
3,13/03/2019,19.3304,-0.0609,0.031
4,14/03/2019,19.2901,-0.0403,0.0206
5,15/03/2019,19.298599,0.008499,0.048799
6,18/03/2019,19.2034,-0.095199,-0.103698
7,19/03/2019,19.0564,-0.147,-0.051801
8,20/03/2019,18.994499,-0.061901,0.085099
9,21/03/2019,18.799,-0.195499,-0.133598
10,22/03/2019,18.85,0.051,0.246499
11,25/03/2019,19.1166,0.2666,0.2156
12,26/03/2019,19.0156,-0.101,-0.3676
13,27/03/2019,19.0881,0.0725,0.1735
14,28/03/2019,19.3638,0.2757,0.2032
15,29/03/2019,19.345301,-0.018499,-0.294199
16,01/04/2019,19.329399,-0.015902,0.002597
17,02/04/2019,19.1593,-0.170099,-0.154197
18,03/04/2019,19.216101,0.056801,0.2269
19,04/04/2019,19.217699,0.001598,-0.055203
20,05/04/2019,19.146799,-0.0709,-0.072498
21,08/04/2019,19.0613,-0.085499,-0.014599
22,09/04/2019,18.9839,-0.0774,0.008099
23,10/04/2019,18.913799,-0.070101,0.007299
24,11/04/2019,18.8064,-0.107399,-0.037298
25,12/04/2019,18.8169,0.0105,0.117899
26,15/04/2019,18.757601,-0.059299,-0.069799
27,16/04/2019,18.859301,0.1017,0.160999
28,17/04/2019,18.865801,0.0065,-0.0952
29,18/04/2019,18.802,-0.063801,-0.070301
30,19/04/2019,18.7871,-0.0149,0.048901
31,22/04/2019,18.7677,-0.0194,-0.0045
32,23/04/2019,18.826099,0.058399,0.077799
33,24/04/2019,18.9034,0.077301,0.018902
34,25/04/2019,19.0683,0.1649,0.087599
35,26/04/2019,19.022699,-0.045601,-0.210501
36,29/04/2019,18.9286,-0.094099,-0.048498
37,30/04/2019,18.9984,0.0698,0.163899
38,01/05/2019,18.9382,-0.0602,-0.13
39,02/05/2019,18.9827,0.0445,0.1047
40,03/05/2019,19.113199,0.130499,0.085999
41,06/05/2019,19.057899,-0.0553,-0.185799
42,07/05/2019,18.992599,-0.0653,-0.01
43,08/05/2019,19.0399,0.047301,0.112601
44,09/05/2019,19.0707,0.0308,-0.016501
45,10/05/2019,19.2255,0.1548,0.124
46,13/05/2019,19.1229,-0.1026,-0.2574
47,14/05/2019,19.206699,0.083799,0.186399
48,15/05/2019,19.1434,-0.063299,-0.147098
