Consecutivo,Date,Adj Close
1,11/03/2019,19.4832
2,12/03/2019,19.3913
3,13/03/2019,19.3304
4,14/03/2019,19.2901
5,15/03/2019,19.298599
6,18/03/2019,19.2034
7,19/03/2019,19.0564
8,20/03/2019,18.994499
9,21/03/2019,18.799
10,22/03/2019,18.85
11,25/03/2019,19.1166
12,26/03/2019,19.0156
13,27/03/2019,19.0881
14,28/03/2019,19.3638
15,29/03/2019,19.345301
16,01/04/2019,19.329399
17,02/04/2019,19.1593
18,03/04/2019,19.216101
19,04/04/2019,19.217699
20,05/04/2019,19.146799
21,08/04/2019,19.0613
22,09/04/2019,18.9839
23,10/04/2019,18.913799
24,11/04/2019,18.8064
25,12/04/2019,18.8169
26,15/04/2019,18.757601
27,16/04/2019,18.859301
28,17/04/2019,18.865801
29,18/04/2019,18.802
30,19/04/2019,18.7871
31,22/04/2019,18.7677
32,23/04/2019,18.826099
33,24/04/2019,18.9034
34,25/04/2019,19.0683
35,26/04/2019,19.022699
36,29/04/2019,18.9286
37,30/04/2019,18.9984
38,01/05/2019,18.9382
39,02/05/2019,18.9827
40,03/05/2019,19.113199
41,06/05/2019,19.057899
42,07/05/2019,18.992599
43,08/05/2019,19.0399
44,09/05/2019,19.0707
45,10/05/2019,19.2255
46,13/05/2019,19.1229
47,14/05/2019,19.206699
48,15/05/2019,19.1434
49,16/05/2019,19.060801
50,17/05/2019,19.099199
51,20/05/2019,19.1306
52,21/05/2019,19.046301
53,22/05/2019,null
54,23/05/2019,18.9828
55,24/05/2019,19.0308
56,27/05/2019,19.0431
57,28/05/2019,19.052999
58,29/05/2019,19.183201
59,30/05/2019,19.1355
60,31/05/2019,19.525
61,03/06/2019,19.614799
62,04/06/2019,19.803301
63,05/06/2019,19.5669
64,06/06/2019,19.749201
65,07/06/2019,19.674299
66,10/06/2019,19.2791
67,11/06/2019,19.204399
68,12/06/2019,19.1061
69,13/06/2019,19.1598
70,14/06/2019,19.181101
71,17/06/2019,19.131399
72,18/06/2019,19.166201
73,19/06/2019,19.122801
74,20/06/2019,19.007401
75,21/06/2019,18.988899
76,24/06/2019,19.0991
77,25/06/2019,19.194901
78,26/06/2019,19.218
79,27/06/2019,19.1367
80,28/06/2019,19.1728
81,01/07/2019,19.136999
82,02/07/2019,19.099899
83,03/07/2019,19.044001
84,04/07/2019,19.003799
85,05/07/2019,19.003799
86,08/07/2019,18.9949
87,09/07/2019,18.9333
88,10/07/2019,19.1605
89,11/07/2019,19.1285
90,12/07/2019,19.067301
91,15/07/2019,18.9876
92,16/07/2019,18.966
93,17/07/2019,19.0896
94,18/07/2019,19.057899
95,19/07/2019,18.956699
96,22/07/2019,19.0126
97,23/07/2019,19.0392
98,24/07/2019,19.1684
99,25/07/2019,19.058399
100,26/07/2019,19.026199
101,29/07/2019,19.031
102,30/07/2019,19.0467
103,31/07/2019,19.055401
104,01/08/2019,19.136499
105,02/08/2019,19.2103
106,05/08/2019,19.3384
107,06/08/2019,19.6803
108,07/08/2019,19.5959
109,08/08/2019,19.632299
110,09/08/2019,19.4277
111,12/08/2019,19.4256
112,13/08/2019,19.584499
113,14/08/2019,19.3787
114,15/08/2019,19.654699
115,16/08/2019,19.5986
116,19/08/2019,19.622299
117,20/08/2019,19.8731
118,21/08/2019,19.7505
119,22/08/2019,19.6719
120,23/08/2019,19.7997
121,26/08/2019,20.004299
122,27/08/2019,19.9359
123,28/08/2019,19.974001
124,29/08/2019,20.1394
125,30/08/2019,20.1208
126,02/09/2019,20.0938
127,03/09/2019,20.1245
128,04/09/2019,19.960699
129,05/09/2019,19.685699
130,06/09/2019,19.7057
131,09/09/2019,19.5411
132,10/09/2019,19.5555
133,11/09/2019,19.492001
134,12/09/2019,19.499399
135,13/09/2019,19.428499
136,16/09/2019,19.3981
137,17/09/2019,19.4224
138,18/09/2019,19.3528
139,19/09/2019,19.3967
140,20/09/2019,19.429199
141,23/09/2019,19.4189
142,24/09/2019,19.476
143,25/09/2019,19.435699
144,26/09/2019,19.566999
145,27/09/2019,19.657
146,30/09/2019,19.678699
147,01/10/2019,19.7348
148,02/10/2019,19.803801
149,03/10/2019,19.783701
150,04/10/2019,19.653
151,07/10/2019,19.5208
152,08/10/2019,19.5709
153,09/10/2019,19.6252
154,10/10/2019,19.5849
155,11/10/2019,19.4347
156,14/10/2019,19.3081
157,15/10/2019,19.2694
158,16/10/2019,19.2306
159,17/10/2019,19.194901
160,18/10/2019,19.1798
161,21/10/2019,19.117701
162,22/10/2019,19.121799
163,23/10/2019,19.140699
164,24/10/2019,19.101601
165,25/10/2019,19.117901
166,28/10/2019,19.039301
167,29/10/2019,19.110201
168,30/10/2019,19.107201
169,31/10/2019,19.092899
170,01/11/2019,19.2388
171,04/11/2019,19.084999
172,05/11/2019,19.1679
173,06/11/2019,19.1868
174,07/11/2019,19.1507
175,08/11/2019,19.121599
176,11/11/2019,19.109501
177,12/11/2019,19.1115
178,13/11/2019,19.2987
179,14/11/2019,19.3652
180,15/11/2019,19.3127
181,18/11/2019,19.198799
182,19/11/2019,19.3172
183,20/11/2019,19.3585
184,21/11/2019,19.4697
185,22/11/2019,19.3869
186,25/11/2019,19.344999
187,26/11/2019,19.4452
188,27/11/2019,19.507299
189,28/11/2019,19.5546
190,29/11/2019,19.4914
191,02/12/2019,19.5359
192,03/12/2019,19.573999
193,04/12/2019,19.5495
194,05/12/2019,19.431101
